Food,Associativity,Region,Type,Category,Allergy,Serving,Total Weight (gms),Energy(kcal),Proteins,Carbohydrates,Fats,Fiber,Carbon Footprint(kg CO2e),Ingredients
Rajma sabji,"2,8","North,East,West","Dry Curry, Gravy",Veg,no-allergies,4 small bowl,570,269,15,41,5,2,0.6855,Rajma-250 gms; Cooking oil-15 gms; Cumin seeds-15 gms; Onion-50 gms; Tomato-150 gms; Garlic-15 gms; Chillies-15 gms; Turmeric powder-15 gms; Common salt-15 gms; Coriander leaves-15 gms; Ginger-15 gms
Lobia sabji,"2,8","North,East,West","Dry Curry, Gravy",Veg,no-allergies,4 small bowl,714,115,4,14,4,3,0.787,Cooking oil-15 gms; Cumin seeds-7 gms; Onion-190 gms; Chillies-15 gms; Turmeric powder-7 gms; Common salt-15 gms; Tomato-90 gms; Garlic powder-15 gms; Coriander Leaves-15 gms; Lobia-300 gms; Ginger powder-15 gms; Coriander Powder-15 gms; Cumin Powder-15 gms
"Avocado, cherry Tomato, Cucumber, Lettuce leaves and Seeds Salad",0,Continental,"Lunch,Dinner",Veg,no-allergies,1 small bowl,486,393,12,13,31,9,0.33625,Avocado-50 gms; Tomato-62 gms; CUCUMBER-62 gms; Lettuce Leaf-250 gms; Sunflower seeds-15 gms; PUMPKIN SEED-15 gms; Lemon-15 gms; Common salt-1 gms; Black pepper-1 gms; Olive oil-15 gms
Baby Corn and Broccoli Salad,0,"Continental,North,South,East,West",Appetizer,Veg,no-allergies,1 small bowl,334,109,6,16,3,7,0.1242,Babycorn-62 gms; CUCUMBER-62 gms;Parsley-30 gms; Lemon-7 ml; Common salt-15 gms; Black pepper-15 gms; Broccoli-150 gms
Baby Tomato and Lettuce Salad,0,"Continental,North,South,East,West","Lunch,Dinner",Veg,no-allergies,1 small bowl,480,205,14,30,4,3,0.169,Lettuce Leaf-250 gms; Lemon-5 ml; Common salt-15 gms; Black pepper-15 gms; Cherry Tomato-50 gms; Lettuce Leaf-150 gms
Beans Salad,0,"Continental,North,South,East,West","Lunch,Dinner",Veg,no-allergies,1 small bowl,324,460,30,81,2,3,0.30455,Rajma-125 gms; Capsicum-62 gms; CUCUMBER-62 gms; Parsley-30 gms; Lemon-15 gms; Common salt-15 gms; Black pepper-15 gms
Corn and spinach Salad,0,"Continental,North,South,East,West",Appetizer,Veg,no-allergies,2 small bowl,538,124,5,21,2,9,0.208,SPINACH-250 gms;Garlic-1 gms; Common salt-15 gms; Black pepper-15 gms; Lemon-7 gms; Babycorn-250 gms
Corn and Avocado salad,0,Continental,Appetizer,Veg,no-allergies,2 small bowl,337,80,2,8,5,3,0.3776,Avocado-50 gms; CUCUMBER-62 gms; Parsley-15 gms; Lemon-15 gms; Common salt-15 gms; Black pepper-15 gms; Corn-150 gms; Olive oil-15 gms
"Cucumber, Onion and Tomato Salad",0,"Continental,North,South,East,West",Appetizer,Veg,no-allergies,1 small bowl,280,64,5,8,1,3,0.2745,CUCUMBER-70 gms; Tomato-120 gms; Parsley-15 gms; Common salt-15 gms; Black pepper-15 gms; Lemon-15 gms; Onion-30 gms
Lettuce leaves salad,0,"Continental,North,South,East,West",Appetizer,Veg,no-allergies,1 small bowl,101,17,1,3,0,2,0.0615,Lettuce Leaf-6 gms; CUCUMBER-0.25 gms; Capsicum-0.25 gms; Common salt-15 gms; Black pepper-15 gms; Lemon-15 gms
